time,x,y
0.009899999999999996,99.96842728931175,2.6821500695409455
0.019899999999999935,99.87908773139176,5.38988628257443
0.029899999999999875,99.74105477126362,8.095035579629947
0.039900000000000116,99.56336481005098,10.797006859457937
0.0499000000000004,99.35495920310805,13.49568737587043
0.05990000000000069,99.12462041364482,16.191428131737133
0.06990000000000098,98.88090390699914,18.88502226144949
0.07990000000000126,98.6320677428223,21.57767588798953
0.08990000000000155,98.38600212662827,24.270971324605362
0.09990000000000183,98.15016138190421,26.966822924509465
0.10990000000000212,97.93150086785178,29.66742633564769
0.11990000000000241,97.73642127455967,32.37520235501868
0.129900000000002,97.5707224702579,35.09273695873957
0.1399000000000009,97.43956866472448,37.822719372559405
0.1498999999999998,97.34746611674643,40.567880212758475
0.1598999999999987,97.29825399437166,43.33093175142082
0.1698999999999976,97.29510834681172,46.114512240134054
0.1798999999999965,97.34055852139589,48.92113597523225
0.1898999999999954,97.43651480876903,51.753150432575765
0.1998999999999943,97.58430566474499,54.61270137717813
0.2098999999999932,97.7847225631349,57.50170640380368
0.2198999999999921,98.03807038909636,60.421836928850624
0.229899999999991,98.3442212800506,63.374508265292604
0.2398999999999899,98.70266994126237,66.36087709575844
0.2498999999999888,99.1125886777702,69.38184542779679
0.2598999999999877,99.57288066175924,72.43806997334589
0.2698999999999866,100.08223026355289,75.529975835922
0.2798999999999855,100.63914958770414,78.65777340222469
0.2898999999999844,101.24202065148964,81.82147740422431
0.2998999999999833,101.88913290621342,85.0209272266585
0.3098999999999822,102.57871602317644,88.25580766730616
0.3198999999999811,103.30896804249049,91.5256694996276
0.32989999999998,104.0780791148729,94.82994932837568
0.3398999999999789,104.88425115788,98.16798836062613
0.3498999999999778,105.72571380422376,101.53904983220491
0.3598999999999767,106.60073704714779,104.94233492998944
0.3698999999999756,107.50764099263561,108.37699713321176
0.3798999999999745,108.44480311637122,111.84215496225437
0.3898999999999734,109.41066339998777,115.3369031729721
0.3998999999999723,110.40372769048984,118.86032247026431
0.4098999999999712,111.42256959220035,122.41148783864344
0.4198999999999701,112.4658311647237,125.98947560207375
0.429899999999969,113.53222266508304,129.5933693324039
0.4398999999999679,114.62052153863871,133.2222647270894
0.44989999999996677,115.72957083241637,136.87527357413245
0.45989999999996567,116.85827717648195,140.55152691652026
0.46989999999996457,118.00560845416906,144.2501775209275
0.47989999999996347,119.17059126025343,147.97040174687828
0.48989999999996237,120.35230822743864,151.71140090349405
0.49989999999996126,121.54989528553213,155.47240217187473
0.5098999999999602,122.76253890419777,159.25265916233272
0.5198999999999591,123.98947335887458,163.05145216735147
0.529899999999958,125.22997805009285,166.86808816339368
0.5398999999999569,126.48337489872053,170.7019006076024
0.5498999999999558,127.74902583339656,174.5522490690445
0.5598999999999547,129.02633038134618,178.41851872843125
0.5698999999999536,130.31472336971208,182.30011977519743
0.5798999999999525,131.61367274132925,186.19648672636788
0.5898999999999514,132.9226774863558,190.10707768776345
0.5998999999999503,134.24126568923256,194.03137357472542
0.6098999999999491,135.56899268897786,197.9688773066281
0.619899999999948,136.90543934973027,201.91911298695345
0.629899999999947,138.2502104376726,205.88162507855353
0.6398999999999458,139.60293309992497,209.85597758191864
0.6498999999999447,140.9632554406576,213.8417532227128
0.6598999999999436,142.33084518947652,217.83855265354055
0.6698999999999425,143.70538845706147,221.8459936738099
0.6798999999999414,145.08658857305184,225.86371047063676
0.6898999999999403,146.47416500126434,229.8913528829718
0.6998999999999392,147.86785232745595,233.928585690494
0.7098999999999381,149.2673993150185,237.9750879282926
0.719899999999937,150.67256802418865,242.03055222792798
0.7298999999999359,152.08313299056599,246.09468418511315
0.7398999999999348,153.49888045895102,250.16720175397714
0.7498999999999337,154.91960766874124,254.2478346676404
0.7598999999999326,156.34512218733946,258.33632388466117
0.7698999999999315,157.77524128825274,262.4324210607668
0.7798999999999304,159.20979137076802,266.5358880451883
0.7898999999999293,160.648607418295,270.6464964008218
0.7998999999999282,162.0915324926629,274.7640269474068
0.8098999999999271,163.5384172618424,278.8882693268609
0.819899999999926,164.98911955873845,283.01902158988656
0.8298999999999249,166.44350396886554,287.1560898029686
0.8398999999999238,167.9014414448739,291.29928767487263
0.8498999999999227,169.36280894603647,295.4484362017702
0.8598999999999216,170.82748910094782,299.60336333012145
0.8698999999999205,172.295369891808,303.7639036364754
0.8798999999999194,173.76634435878432,307.9298980233729
0.8898999999999183,175.24031032305572,312.101193430551
0.8998999999999172,176.71717012724244,316.27764256068576
0.9098999999999161,178.19683039202226,320.45910361894266
0.919899999999915,179.6792017878183,324.6454400656226
0.9298999999999139,181.16419882052963,328.83652038123074
0.9398999999999128,182.65173963034584,333.03221784332254
0.9498999999999117,184.1417458027602,337.2324103145107
0.9598999999999106,185.63414219095756,341.4369800410515
0.9698999999999095,187.1288567488175,345.6458134614449
0.9798999999999084,188.62582037382163,349.8588010245292
0.9898999999999073,190.12496675921062,354.07583701656085
0.9998999999999062,191.62623225478168,358.2968193968053
1.0098999999999052,193.12955573575817,362.52164964119015
1.019899999999904,194.63487847920885,366.750232593586
1.029899999999903,196.14214404752795,370.9824763243198
1.039899999999902,197.6512981785192,375.21829199553173
1.0498999999999008,199.16228868166615,379.45759373301536
1.0598999999998997,200.67506534019358,383.7002985041974
1.0698999999998986,202.18957981855652,387.94632600193546
1.0798999999998975,203.70578557501506,392.195598533829
1.0898999999998964,205.22363777897996,396.44804091674905
1.0998999999998953,206.74309323283484,400.7035803763212
1.1098999999998942,208.2641102979591,404.962146451098
1.119899999999893,209.78664882469525,409.2236709011815
